ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ETH,12924,Female deaths that are pregnancy-related,25.3,1,ET,Ethiopia,2000,ET2000DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2000,DHS,,,,,
ETH,12919,Number of pregnancy-related deaths,263,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2000,DHS,,,,,
ETH,12921,Years of exposure to the risk of mortality for women,156334,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2000,DHS,,152279,,,
ETH,12922,Years of exposure to the risk of mortality for women (unweighted),152279,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2000,DHS,,152279,,,
ETH,230314,Pregnancy-related mortality rate,1.58,2,ET,Ethiopia,2000,ET2000DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2000,DHS,156334,152279,,,
ETH,12904,General fertility rate,181,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2000,DHS,,,,,
ETH,818863,Pregnancy-related mortality ratio,871,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2000,DHS,,,703,1039,
ETH,12909,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),703,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2000,DHS,,,,,
ETH,12903,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),1039,0,ET,Ethiopia,2000,ET2000DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2000,DHS,,,,,
ETH,12910,Lifetime risk of pregnancy-related death,0.051,3,ET,Ethiopia,2000,ET2000DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2000,DHS,,,,,
ETH,12943,Female deaths that are pregnancy-related,21.3,1,ET,Ethiopia,2005,ET2005DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2005,DHS,,,,,
ETH,12937,Number of pregnancy-related deaths,197,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2005,DHS,,,,,
ETH,543984,Years of exposure to the risk of mortality for women,147433,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2005,DHS,,143091,,,
ETH,543985,Years of exposure to the risk of mortality for women (unweighted),143091,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2005,DHS,,143091,,,
ETH,239745,Pregnancy-related mortality rate,1.24,2,ET,Ethiopia,2005,ET2005DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2005,DHS,147433,143091,,,
ETH,12900,General fertility rate,184,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2005,DHS,,,,,
ETH,770116,Pregnancy-related mortality ratio,673,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2005,DHS,,,548,799,
ETH,12901,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),548,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2005,DHS,,,,,
ETH,12902,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),799,0,ET,Ethiopia,2005,ET2005DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2005,DHS,,,,,
ETH,12944,Lifetime risk of pregnancy-related death,0.04,3,ET,Ethiopia,2005,ET2005DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2005,DHS,,,,,
ETH,13071,Female deaths that are pregnancy-related,29.6,1,ET,Ethiopia,2011,ET2011DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2011,DHS,,,,,
ETH,13069,Number of pregnancy-related deaths,217,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2011,DHS,,,,,
ETH,13075,Years of exposure to the risk of mortality for women,182034,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2011,DHS,,174152,,,
ETH,13076,Years of exposure to the risk of mortality for women (unweighted),174152,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2011,DHS,,174152,,,
ETH,557657,Pregnancy-related mortality rate,1.14,2,ET,Ethiopia,2011,ET2011DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2011,DHS,182034,174152,,,
ETH,13095,General fertility rate,169,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2011,DHS,,,,,
ETH,813007,Pregnancy-related mortality ratio,676,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2011,DHS,,,541,810,
ETH,13096,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),541,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2011,DHS,,,,,
ETH,13089,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),810,0,ET,Ethiopia,2011,ET2011DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2011,DHS,,,,,
ETH,13097,Lifetime risk of pregnancy-related death,0.036,3,ET,Ethiopia,2011,ET2011DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2011,DHS,,,,,
ETH,297226,Female deaths that are pregnancy-related,25.1,1,ET,Ethiopia,2016,ET2016DHS,MM_MMRT_W_FDP,77003010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWFDP,,2016,DHS,,,,,
ETH,297224,Number of pregnancy-related deaths,118,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRT_W_PDT,77003020,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPDT,,2016,DHS,,,,,
ETH,297229,Years of exposure to the risk of mortality for women,176485,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRT_W_EXP,77003030,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXP,,2016,DHS,,169390,,,
ETH,297230,Years of exposure to the risk of mortality for women (unweighted),169390,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRT_W_EXU,77003040,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWEXU,,2016,DHS,,169390,,,
ETH,657293,Pregnancy-related mortality rate,0.66,2,ET,Ethiopia,2016,ET2016DHS,MM_MMRT_W_PRT,77003050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMMMRTWPRT,,2016,DHS,176485,169390,,,
ETH,456274,General fertility rate,160,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRO_W_GFR,77033010,I,1000,0,Total,Total,0,,1,1,MMMMROWGFR,,2016,DHS,,,,,
ETH,818866,Pregnancy-related mortality ratio,412,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2016,DHS,,,273,551,
ETH,456277,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),273,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRO_W_PIL,77033030,C,1000,0,Total,Total,0,,1,1,MMMMROWPIL,,2016,DHS,,,,,
ETH,456275,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),551,0,ET,Ethiopia,2016,ET2016DHS,MM_MMRO_W_PIH,77033040,C,1000,0,Total,Total,0,,1,1,MMMMROWPIH,,2016,DHS,,,,,
ETH,456278,Lifetime risk of pregnancy-related death,0.021,3,ET,Ethiopia,2016,ET2016DHS,MM_MMRO_W_LTP,77033050,I,1000,0,Total,Total,0,,1,1,MMMMROWLTP,,2016,DHS,,,,,
